source_file,beat_index,rr_ms,hr_bpm,qrs_width_ms,r_amplitude,beat_length_ms,sdnn_ms,rmssd_ms,pnn50,cv
PERSONB_QRS30.csv,0,517.0,116.0541586073501,80.0,288.93432308538735,653.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,1,789.0,76.04562737642586,16.0,258.27357811007465,833.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,2,876.0,68.4931506849315,19.0,280.8581958147324,908.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,3,941.0,63.76195536663124,19.0,325.8821696637506,930.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,4,918.0,65.359477124183,18.0,296.77718716219266,864.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,5,811.0,73.98273736128236,18.0,344.1238451573275,839.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,6,866.0,69.28406466512702,18.0,337.9281372743235,892.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONB_QRS30.csv,7,918.0,65.359477124183,18.0,341.7077680748339,914.0,130.9266121832295,113.76181257346421,0.75,0.1561334980322069
PERSONC_QRS30.csv,0,842.0,71.25890736342043,20.0,797.7507735966778,803.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,1,765.0,78.43137254901961,19.0,774.5075330627895,736.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,2,707.0,84.86562942008487,19.0,593.2449345346612,700.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,3,693.0,86.58008658008659,21.0,534.6293234991024,695.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,4,696.0,86.20689655172414,20.0,587.2649724111457,708.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,5,721.0,83.21775312066575,21.0,573.9032321661269,744.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,6,766.0,78.3289817232376,20.0,581.1740906950779,789.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,7,813.0,73.80073800738008,17.0,666.958941397306,834.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,8,854.0,70.2576112412178,19.0,721.8456473614723,870.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
PERSONC_QRS30.csv,9,887.0,67.64374295377678,19.0,768.6757817201536,895.0,77.73989264908273,41.692925059295135,0.2,0.09889427768473576
Response Sample 1_SIM_QRS21_A.csv,0,751.0,79.89347536617844,22.0,809.6460542418528,752.0,1.2909944487358056,1.4142135623730951,0.0,0.001720179145550707
Response Sample 1_SIM_QRS21_A.csv,1,752.0,79.7872340425532,21.0,797.1420789024043,751.0,1.2909944487358056,1.4142135623730951,0.0,0.001720179145550707
Response Sample 1_SIM_QRS21_A.csv,2,750.0,80.0,21.0,802.9650357521413,749.0,1.2909944487358056,1.4142135623730951,0.0,0.001720179145550707
Sample 1_UB_QRS21.csv,0,570.0,105.26315789473684,16.0,618.5275807579198,570.0,10.251829105091442,6.48074069840786,0.0,0.01825793251129375
Sample 1_UB_QRS21.csv,1,570.0,105.26315789473684,17.0,681.3600649606681,568.0,10.251829105091442,6.48074069840786,0.0,0.01825793251129375
Sample 1_UB_QRS21.csv,2,567.0,105.82010582010582,17.0,609.0227537114374,565.0,10.251829105091442,6.48074069840786,0.0,0.01825793251129375
Sample 1_UB_QRS21.csv,3,563.0,106.57193605683837,17.0,645.5586277731381,559.0,10.251829105091442,6.48074069840786,0.0,0.01825793251129375
Sample 1_UB_QRS21.csv,4,555.0,108.10810810810811,17.0,788.7356438346967,550.0,10.251829105091442,6.48074069840786,0.0,0.01825793251129375
Sample 1_UD_QRS21.csv,0,454.0,132.15859030837004,87.0,202.3052286247325,591.0,235.58208052962487,200.7427873341074,0.6666666666666666,0.30565303993464144
Sample 1_UD_QRS21.csv,1,729.0,82.3045267489712,17.0,356.86469301689255,835.0,235.58208052962487,200.7427873341074,0.6666666666666666,0.30565303993464144
Sample 1_UD_QRS21.csv,2,941.0,63.76195536663124,18.0,367.7124712962124,950.0,235.58208052962487,200.7427873341074,0.6666666666666666,0.30565303993464144
Sample 1_UE_QRS21.csv,0,851.0,70.50528789659225,21.0,844.5181644999269,852.0,0.7071067811865476,1.0,0.0,0.0008304248751456813
Sample 1_UF_QRS21.csv,0,1002.0,59.880239520958085,18.0,719.3775138973592,951.0,52.16640042530568,75.59100475585703,0.5,0.05522201879884159
Sample 1_UF_QRS21.csv,1,900.0,66.66666666666667,20.0,742.4039290781398,916.0,52.16640042530568,75.59100475585703,0.5,0.05522201879884159
Sample 2_UA_QRS21.csv,0,1156.0,51.90311418685121,17.0,381.1243953169436,1151.0,7.463243262818116,10.35615758860399,0.0,0.006485265261399128
Sample 2_UA_QRS21.csv,1,1146.0,52.35602094240838,18.0,476.8691928045376,1143.0,7.463243262818116,10.35615758860399,0.0,0.006485265261399128
Sample 2_UA_QRS21.csv,2,1140.0,52.63157894736842,16.0,462.4259303111451,1148.0,7.463243262818116,10.35615758860399,0.0,0.006485265261399128
Sample 2_UA_QRS21.csv,3,1157.0,51.85825410544512,17.0,447.5158214781931,1156.0,7.463243262818116,10.35615758860399,0.0,0.006485265261399128
Sample 3_UA_QRS21.csv,0,1108.0,54.151624548736464,18.0,438.035892013125,1098.0,10.785793124908958,18.560711193270585,0.0,0.009802296084437103
Sample 3_UA_QRS21.csv,1,1088.0,55.14705882352941,16.0,443.5717787733412,1096.0,10.785793124908958,18.560711193270585,0.0,0.009802296084437103
